day;month;year;cases;deaths;countriesAndTerritories;geoId;countryterritoryCode;popData2019;continentExp;Cumulative_number_for_14_days_of_COVID-19_cases_per_100000;total_test;median_age;age_65;age_70;cardio_rate;diabetes_rate
12;1;2020;0;0;Azerbaijan;AZ;AZE;10047719;Europe;;;;;;;
12;1;2020;0;0;Belarus;BY;BLR;9452409;Europe;;;;;;;
12;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;;;;;;;
12;1;2020;0;0;Croatia;HR;HRV;4076246;Europe;;;;;;;
12;1;2020;0;0;Czechia;CZ;CZE;10649800;Europe;;;;;;;
12;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;;;;;;;
12;1;2020;0;0;Estonia;EE;EST;1324820;Europe;;;;;;;
12;1;2020;0;0;Finland;FI;FIN;5517919;Europe;;;;;;;
12;1;2020;0;0;France;FR;FRA;67012883;Europe;;;;;;;
12;1;2020;0;0;Georgia;GE;GEO;3996762;Europe;;;;;;;
12;1;2020;0;0;Germany;DE;DEU;83019213;Europe;;;;;;;
12;1;2020;0;0;Greece;EL;GRC;10724599;Europe;;;;;;;
12;1;2020;0;0;Iceland;IS;ISL;356991;Europe;;;;;;;
12;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;;;;;;;
12;1;2020;0;0;Italy;IT;ITA;60359546;Europe;;;;;;;
12;1;2020;0;0;Lithuania;LT;LTU;2794184;Europe;;;;;;;
12;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;;;;;;;
12;1;2020;0;0;Monaco;MC;MCO;33085;Europe;;;;;;;
12;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;;;;;;;
12;1;2020;0;0;North_Macedonia;MK;MKD;2077132;Europe;;;;;;;
12;1;2020;0;0;Norway;NO;NOR;5328212;Europe;;;;;;;
12;1;2020;0;0;Romania;RO;ROU;19414458;Europe;;;;;;;
12;1;2020;0;0;Russia;RU;RUS;145872260;Europe;;;;;;;
12;1;2020;0;0;San_Marino;SM;SMR;34453;Europe;;;;;;;
12;1;2020;0;0;Spain;ES;ESP;46937060;Europe;;;;;;;
12;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;;;;;;;
12;1;2020;0;0;Switzerland;CH;CHE;8544527;Europe;;;;;;;
12;1;2020;0;0;United_Kingdom;UK;GBR;66647112;Europe;;;;;;;
13;1;2020;0;0;Armenia;AM;ARM;2957728;Europe;0;;;;;;
13;1;2020;0;0;Austria;AT;AUT;8858775;Europe;0;;;;;;
13;1;2020;0;0;Azerbaijan;AZ;AZE;10047719;Europe;0;;;;;;
13;1;2020;0;0;Belarus;BY;BLR;9452409;Europe;0;;;;;;
13;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;106.498.885;;;;;;
13;1;2020;0;0;Croatia;HR;HRV;4076246;Europe;0;;;;;;
13;1;2020;0;0;Czechia;CZ;CZE;10649800;Europe;0;;;;;;
13;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;0;;;;;;
13;1;2020;0;0;Estonia;EE;EST;1324820;Europe;0;;;;;;
13;1;2020;0;0;Finland;FI;FIN;5517919;Europe;0;;;;;;
13;1;2020;0;0;France;FR;FRA;67012883;Europe;0;;;;;;
13;1;2020;0;0;Georgia;GE;GEO;3996762;Europe;0;;;;;;
13;1;2020;0;0;Germany;DE;DEU;83019213;Europe;0;;;;;;
13;1;2020;0;0;Greece;EL;GRC;10724599;Europe;0;;;;;;
13;1;2020;0;0;Iceland;IS;ISL;356991;Europe;0;;;;;;
13;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;0;;;;;;
13;1;2020;0;0;Italy;IT;ITA;60359546;Europe;0;;;;;;
13;1;2020;0;0;Lithuania;LT;LTU;2794184;Europe;0;;;;;;
13;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;0;;;;;;
13;1;2020;0;0;Monaco;MC;MCO;33085;Europe;0;;;;;;
13;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;0;;;;;;
13;1;2020;0;0;North_Macedonia;MK;MKD;2077132;Europe;0;;;;;;
13;1;2020;0;0;Norway;NO;NOR;5328212;Europe;0;;;;;;
13;1;2020;0;0;Romania;RO;ROU;19414458;Europe;0;;;;;;
13;1;2020;0;0;Russia;RU;RUS;145872260;Europe;0;;;;;;
13;1;2020;0;0;San_Marino;SM;SMR;34453;Europe;0;;;;;;
13;1;2020;0;0;Spain;ES;ESP;46937060;Europe;0;;;;;;
13;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;0;;;;;;
13;1;2020;0;0;Switzerland;CH;CHE;8544527;Europe;0;;;;;;
13;1;2020;0;0;United_Kingdom;UK;GBR;66647112;Europe;0;;;;;;
14;1;2020;0;0;Armenia;AM;ARM;2957728;Europe;0;;;;;;
14;1;2020;0;0;Austria;AT;AUT;8858775;Europe;0;;;;;;
14;1;2020;0;0;Azerbaijan;AZ;AZE;10047719;Europe;0;;;;;;
14;1;2020;0;0;Belarus;BY;BLR;9452409;Europe;0;;;;;;
14;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;0;;;;;;
14;1;2020;0;0;Croatia;HR;HRV;4076246;Europe;0;;;;;;
14;1;2020;0;0;Czechia;CZ;CZE;10649800;Europe;0;;;;;;
14;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;0;;;;;;
14;1;2020;0;0;Estonia;EE;EST;1324820;Europe;0;;;;;;
14;1;2020;0;0;Finland;FI;FIN;5517919;Europe;0;;;;;;
14;1;2020;0;0;France;FR;FRA;67012883;Europe;0;;;;;;
14;1;2020;0;0;Georgia;GE;GEO;3996762;Europe;0;;;;;;
14;1;2020;0;0;Germany;DE;DEU;83019213;Europe;0;;;;;;
14;1;2020;0;0;Greece;EL;GRC;10724599;Europe;0;;;;;;
14;1;2020;0;0;Iceland;IS;ISL;356991;Europe;0;;;;;;
14;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;0;;;;;;
14;1;2020;0;0;Italy;IT;ITA;60359546;Europe;0;;;;;;
14;1;2020;0;0;Lithuania;LT;LTU;2794184;Europe;0;;;;;;
14;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;0;;;;;;
14;1;2020;0;0;Monaco;MC;MCO;33085;Europe;0;;;;;;
14;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;0;;;;;;
14;1;2020;0;0;North_Macedonia;MK;MKD;2077132;Europe;0;;;;;;
14;1;2020;0;0;Norway;NO;NOR;5328212;Europe;0;;;;;;
14;1;2020;0;0;Romania;RO;ROU;19414458;Europe;0;;;;;;
14;1;2020;0;0;Russia;RU;RUS;145872260;Europe;0;;;;;;
14;1;2020;0;0;San_Marino;SM;SMR;34453;Europe;0;;;;;;
14;1;2020;0;0;Spain;ES;ESP;46937060;Europe;0;;;;;;
14;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;0;;;;;;
14;1;2020;0;0;Switzerland;CH;CHE;8544527;Europe;0;;;;;;
14;1;2020;0;0;United_Kingdom;UK;GBR;66647112;Europe;0;;;;;;
15;1;2020;0;0;Armenia;AM;ARM;2957728;Europe;0;;;;;;
15;1;2020;0;0;Austria;AT;AUT;8858775;Europe;0;;;;;;
15;1;2020;0;0;Azerbaijan;AZ;AZE;10047719;Europe;0;;;;;;
15;1;2020;0;0;Belarus;BY;BLR;9452409;Europe;0;;;;;;
15;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;0;;;;;;
15;1;2020;0;0;Croatia;HR;HRV;4076246;Europe;0;;;;;;
15;1;2020;0;0;Czechia;CZ;CZE;10649800;Europe;0;;;;;;
15;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;0;;;;;;
15;1;2020;0;0;Estonia;EE;EST;1324820;Europe;0;;;;;;
15;1;2020;0;0;Finland;FI;FIN;5517919;Europe;0;;;;;;
15;1;2020;0;0;France;FR;FRA;67012883;Europe;0;;;;;;
15;1;2020;0;0;Georgia;GE;GEO;3996762;Europe;0;;;;;;
15;1;2020;0;0;Germany;DE;DEU;83019213;Europe;0;;;;;;
15;1;2020;0;0;Greece;EL;GRC;10724599;Europe;0;;;;;;
15;1;2020;0;0;Iceland;IS;ISL;356991;Europe;0;;;;;;
15;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;0;;;;;;
15;1;2020;0;0;Italy;IT;ITA;60359546;Europe;0;;;;;;
15;1;2020;0;0;Lithuania;LT;LTU;2794184;Europe;0;;;;;;
15;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;0;;;;;;
15;1;2020;0;0;Monaco;MC;MCO;33085;Europe;0;;;;;;
15;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;0;;;;;;
15;1;2020;0;0;North_Macedonia;MK;MKD;2077132;Europe;0;;;;;;
15;1;2020;0;0;Norway;NO;NOR;5328212;Europe;0;;;;;;
15;1;2020;0;0;Romania;RO;ROU;19414458;Europe;0;;;;;;
15;1;2020;0;0;Russia;RU;RUS;145872260;Europe;0;;;;;;
15;1;2020;0;0;San_Marino;SM;SMR;34453;Europe;0;;;;;;
15;1;2020;0;0;Spain;ES;ESP;46937060;Europe;0;;;;;;
15;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;0;;;;;;
15;1;2020;0;0;Switzerland;CH;CHE;8544527;Europe;0;;;;;;
15;1;2020;0;0;United_Kingdom;UK;GBR;66647112;Europe;0;;;;;;
16;1;2020;0;0;Armenia;AM;ARM;2957728;Europe;0;;;;;;
16;1;2020;0;0;Austria;AT;AUT;8858775;Europe;0;;;;;;
16;1;2020;0;0;Azerbaijan;AZ;AZE;10047719;Europe;0;;;;;;
16;1;2020;0;0;Belarus;BY;BLR;9452409;Europe;0;;;;;;
16;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;0;;;;;;
16;1;2020;0;0;Croatia;HR;HRV;4076246;Europe;0;;;;;;
16;1;2020;0;0;Czechia;CZ;CZE;10649800;Europe;0;;;;;;
16;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;0;;;;;;
16;1;2020;0;0;Estonia;EE;EST;1324820;Europe;0;;;;;;
16;1;2020;0;0;Finland;FI;FIN;5517919;Europe;0;;;;;;
16;1;2020;0;0;France;FR;FRA;67012883;Europe;0;;;;;;
16;1;2020;0;0;Georgia;GE;GEO;3996762;Europe;0;;;;;;
16;1;2020;0;0;Germany;DE;DEU;83019213;Europe;0;;;;;;
16;1;2020;0;0;Greece;EL;GRC;10724599;Europe;0;;;;;;
16;1;2020;0;0;Iceland;IS;ISL;356991;Europe;0;;;;;;
16;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;0;;;;;;
16;1;2020;0;0;Italy;IT;ITA;60359546;Europe;0;;;;;;
16;1;2020;0;0;Lithuania;LT;LTU;2794184;Europe;0;;;;;;
16;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;0;;;;;;
16;1;2020;0;0;Monaco;MC;MCO;33085;Europe;0;;;;;;
16;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;0;;;;;;
16;1;2020;0;0;North_Macedonia;MK;MKD;2077132;Europe;0;;;;;;
16;1;2020;0;0;Norway;NO;NOR;5328212;Europe;0;;;;;;
16;1;2020;0;0;Romania;RO;ROU;19414458;Europe;0;;;;;;
16;1;2020;0;0;Russia;RU;RUS;145872260;Europe;0;;;;;;
16;1;2020;0;0;San_Marino;SM;SMR;34453;Europe;0;;;;;;
16;1;2020;0;0;Spain;ES;ESP;46937060;Europe;0;;;;;;
16;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;0;;;;;;
16;1;2020;0;0;Switzerland;CH;CHE;8544527;Europe;0;;;;;;
16;1;2020;0;0;United_Kingdom;UK;GBR;66647112;Europe;0;;;;;;
17;1;2020;0;0;Armenia;AM;ARM;2957728;Europe;0;;;;;;
17;1;2020;0;0;Austria;AT;AUT;8858775;Europe;0;;;;;;
17;1;2020;0;0;Azerbaijan;AZ;AZE;10047719;Europe;0;;;;;;
17;1;2020;0;0;Belarus;BY;BLR;9452409;Europe;0;;;;;;
17;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;0;;;;;;
17;1;2020;0;0;Croatia;HR;HRV;4076246;Europe;0;;;;;;
17;1;2020;0;0;Czechia;CZ;CZE;10649800;Europe;0;;;;;;
17;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;0;;;;;;
17;1;2020;0;0;Estonia;EE;EST;1324820;Europe;0;;;;;;
17;1;2020;0;0;Finland;FI;FIN;5517919;Europe;0;;;;;;
17;1;2020;0;0;France;FR;FRA;67012883;Europe;0;;;;;;
17;1;2020;0;0;Georgia;GE;GEO;3996762;Europe;0;;;;;;
17;1;2020;0;0;Germany;DE;DEU;83019213;Europe;0;;;;;;
17;1;2020;0;0;Greece;EL;GRC;10724599;Europe;0;;;;;;
17;1;2020;0;0;Iceland;IS;ISL;356991;Europe;0;;;;;;
17;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;0;;;;;;
17;1;2020;0;0;Italy;IT;ITA;60359546;Europe;0;;;;;;
17;1;2020;0;0;Lithuania;LT;LTU;2794184;Europe;0;;;;;;
17;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;0;;;;;;
17;1;2020;0;0;Monaco;MC;MCO;33085;Europe;0;;;;;;
17;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;0;;;;;;
17;1;2020;0;0;North_Macedonia;MK;MKD;2077132;Europe;0;;;;;;
17;1;2020;0;0;Norway;NO;NOR;5328212;Europe;0;;;;;;
17;1;2020;0;0;Romania;RO;ROU;19414458;Europe;0;;;;;;
17;1;2020;0;0;Russia;RU;RUS;145872260;Europe;0;;;;;;
17;1;2020;0;0;San_Marino;SM;SMR;34453;Europe;0;;;;;;
17;1;2020;0;0;Spain;ES;ESP;46937060;Europe;0;;;;;;
17;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;0;;;;;;
17;1;2020;0;0;Switzerland;CH;CHE;8544527;Europe;0;;;;;;
17;1;2020;0;0;United_Kingdom;UK;GBR;66647112;Europe;0;;;;;;
18;1;2020;0;0;Armenia;AM;ARM;2957728;Europe;0;;;;;;
18;1;2020;0;0;Austria;AT;AUT;8858775;Europe;0;;;;;;
18;1;2020;0;0;Azerbaijan;AZ;AZE;10047719;Europe;0;;;;;;
18;1;2020;0;0;Belarus;BY;BLR;9452409;Europe;0;;;;;;
18;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;0;;;;;;
18;1;2020;0;0;Croatia;HR;HRV;4076246;Europe;0;;;;;;
18;1;2020;0;0;Czechia;CZ;CZE;10649800;Europe;0;;;;;;
18;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;0;;;;;;
18;1;2020;0;0;Estonia;EE;EST;1324820;Europe;0;;;;;;
18;1;2020;0;0;Finland;FI;FIN;5517919;Europe;0;;;;;;
18;1;2020;0;0;France;FR;FRA;67012883;Europe;0;;;;;;
18;1;2020;0;0;Georgia;GE;GEO;3996762;Europe;0;;;;;;
18;1;2020;0;0;Germany;DE;DEU;83019213;Europe;0;;;;;;
18;1;2020;0;0;Greece;EL;GRC;10724599;Europe;0;;;;;;
18;1;2020;0;0;Iceland;IS;ISL;356991;Europe;0;;;;;;
18;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;0;;;;;;
18;1;2020;0;0;Italy;IT;ITA;60359546;Europe;0;;;;;;
18;1;2020;0;0;Lithuania;LT;LTU;2794184;Europe;0;;;;;;
18;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;0;;;;;;
18;1;2020;0;0;Monaco;MC;MCO;33085;Europe;0;;;;;;
18;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;0;;;;;;
18;1;2020;0;0;North_Macedonia;MK;MKD;2077132;Europe;0;;;;;;
18;1;2020;0;0;Norway;NO;NOR;5328212;Europe;0;;;;;;
18;1;2020;0;0;Romania;RO;ROU;19414458;Europe;0;;;;;;
18;1;2020;0;0;Russia;RU;RUS;145872260;Europe;0;;;;;;
18;1;2020;0;0;San_Marino;SM;SMR;34453;Europe;0;;;;;;
18;1;2020;0;0;Spain;ES;ESP;46937060;Europe;0;;;;;;
18;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;0;;;;;;
18;1;2020;0;0;Switzerland;CH;CHE;8544527;Europe;0;;;;;;
18;1;2020;0;0;United_Kingdom;UK;GBR;66647112;Europe;0;;;;;;
19;1;2020;0;0;Armenia;AM;ARM;2957728;Europe;0;;;;;;
19;1;2020;0;0;Austria;AT;AUT;8858775;Europe;0;;;;;;
19;1;2020;0;0;Azerbaijan;AZ;AZE;10047719;Europe;0;;;;;;
19;1;2020;0;0;Belarus;BY;BLR;9452409;Europe;0;;;;;;
19;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;0;;;;;;
19;1;2020;0;0;Croatia;HR;HRV;4076246;Europe;0;;;;;;
19;1;2020;0;0;Czechia;CZ;CZE;10649800;Europe;0;;;;;;
19;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;0;;;;;;
19;1;2020;0;0;Estonia;EE;EST;1324820;Europe;0;;;;;;
19;1;2020;0;0;Finland;FI;FIN;5517919;Europe;0;;;;;;
19;1;2020;0;0;France;FR;FRA;67012883;Europe;0;;;;;;
19;1;2020;0;0;Georgia;GE;GEO;3996762;Europe;0;;;;;;
19;1;2020;0;0;Germany;DE;DEU;83019213;Europe;0;;;;;;
19;1;2020;0;0;Greece;EL;GRC;10724599;Europe;0;;;;;;
19;1;2020;0;0;Iceland;IS;ISL;356991;Europe;0;;;;;;
19;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;0;;;;;;
19;1;2020;0;0;Italy;IT;ITA;60359546;Europe;0;;;;;;
19;1;2020;0;0;Lithuania;LT;LTU;2794184;Europe;0;;;;;;
19;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;0;;;;;;
19;1;2020;0;0;Monaco;MC;MCO;33085;Europe;0;;;;;;
19;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;0;;;;;;
19;1;2020;0;0;North_Macedonia;MK;MKD;2077132;Europe;0;;;;;;
19;1;2020;0;0;Norway;NO;NOR;5328212;Europe;0;;;;;;
19;1;2020;0;0;Romania;RO;ROU;19414458;Europe;0;;;;;;
19;1;2020;0;0;Russia;RU;RUS;145872260;Europe;0;;;;;;
19;1;2020;0;0;San_Marino;SM;SMR;34453;Europe;0;;;;;;
19;1;2020;0;0;Spain;ES;ESP;46937060;Europe;0;;;;;;
19;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;0;;;;;;
19;1;2020;0;0;Switzerland;CH;CHE;8544527;Europe;0;;;;;;
19;1;2020;0;0;United_Kingdom;UK;GBR;66647112;Europe;0;;;;;;
20;1;2020;0;0;Armenia;AM;ARM;2957728;Europe;0;;;;;;
20;1;2020;0;0;Austria;AT;AUT;8858775;Europe;0;;;;;;
20;1;2020;0;0;Azerbaijan;AZ;AZE;10047719;Europe;0;;;;;;
20;1;2020;0;0;Belarus;BY;BLR;9452409;Europe;0;;;;;;
20;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;0;;;;;;
20;1;2020;0;0;Croatia;HR;HRV;4076246;Europe;0;;;;;;
20;1;2020;0;0;Czechia;CZ;CZE;10649800;Europe;0;;;;;;
20;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;0;;;;;;
20;1;2020;0;0;Estonia;EE;EST;1324820;Europe;0;;;;;;
20;1;2020;0;0;Finland;FI;FIN;5517919;Europe;0;;;;;;
20;1;2020;0;0;France;FR;FRA;67012883;Europe;0;;;;;;
20;1;2020;0;0;Georgia;GE;GEO;3996762;Europe;0;;;;;;
20;1;2020;0;0;Germany;DE;DEU;83019213;Europe;0;;;;;;
20;1;2020;0;0;Greece;EL;GRC;10724599;Europe;0;;;;;;
20;1;2020;0;0;Iceland;IS;ISL;356991;Europe;0;;;;;;
20;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;0;;;;;;
20;1;2020;0;0;Italy;IT;ITA;60359546;Europe;0;;;;;;
20;1;2020;0;0;Lithuania;LT;LTU;2794184;Europe;0;;;;;;
20;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;0;;;;;;
20;1;2020;0;0;Monaco;MC;MCO;33085;Europe;0;;;;;;
20;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;0;;;;;;
20;1;2020;0;0;North_Macedonia;MK;MKD;2077132;Europe;0;;;;;;
20;1;2020;0;0;Norway;NO;NOR;5328212;Europe;0;;;;;;
20;1;2020;0;0;Romania;RO;ROU;19414458;Europe;0;;;;;;
20;1;2020;0;0;Russia;RU;RUS;145872260;Europe;0;;;;;;
20;1;2020;0;0;San_Marino;SM;SMR;34453;Europe;0;;;;;;
20;1;2020;0;0;Spain;ES;ESP;46937060;Europe;0;;;;;;
20;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;0;;;;;;
20;1;2020;0;0;Switzerland;CH;CHE;8544527;Europe;0;;;;;;
20;1;2020;0;0;United_Kingdom;UK;GBR;66647112;Europe;0;;;;;;
21;1;2020;0;0;Armenia;AM;ARM;2957728;Europe;0;;;;;;
21;1;2020;0;0;Austria;AT;AUT;8858775;Europe;0;;;;;;
21;1;2020;0;0;Azerbaijan;AZ;AZE;10047719;Europe;0;;;;;;
21;1;2020;0;0;Belarus;BY;BLR;9452409;Europe;0;;;;;;
21;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;0;;;;;;
21;1;2020;0;0;Croatia;HR;HRV;4076246;Europe;0;;;;;;
21;1;2020;0;0;Czechia;CZ;CZE;10649800;Europe;0;;;;;;
21;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;0;;;;;;
21;1;2020;0;0;Estonia;EE;EST;1324820;Europe;0;;;;;;
21;1;2020;0;0;Finland;FI;FIN;5517919;Europe;0;;;;;;
21;1;2020;0;0;France;FR;FRA;67012883;Europe;0;;;;;;
21;1;2020;0;0;Georgia;GE;GEO;3996762;Europe;0;;;;;;
21;1;2020;0;0;Germany;DE;DEU;83019213;Europe;0;;;;;;
21;1;2020;0;0;Greece;EL;GRC;10724599;Europe;0;;;;;;
21;1;2020;0;0;Iceland;IS;ISL;356991;Europe;0;;;;;;
21;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;0;;;;;;
21;1;2020;0;0;Italy;IT;ITA;60359546;Europe;0;;;;;;
21;1;2020;0;0;Lithuania;LT;LTU;2794184;Europe;0;;;;;;
21;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;0;;;;;;
21;1;2020;0;0;Monaco;MC;MCO;33085;Europe;0;;;;;;
21;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;0;;;;;;
21;1;2020;0;0;North_Macedonia;MK;MKD;2077132;Europe;0;;;;;;
21;1;2020;0;0;Norway;NO;NOR;5328212;Europe;0;;;;;;
21;1;2020;0;0;Romania;RO;ROU;19414458;Europe;0;;;;;;
21;1;2020;0;0;Russia;RU;RUS;145872260;Europe;0;;;;;;
21;1;2020;0;0;San_Marino;SM;SMR;34453;Europe;0;;;;;;
21;1;2020;0;0;Spain;ES;ESP;46937060;Europe;0;;;;;;
21;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;0;;;;;;
21;1;2020;0;0;Switzerland;CH;CHE;8544527;Europe;0;;;;;;
21;1;2020;0;0;United_Kingdom;UK;GBR;66647112;Europe;0;;;;;;
22;1;2020;0;0;Armenia;AM;ARM;2957728;Europe;0;;;;;;
22;1;2020;0;0;Austria;AT;AUT;8858775;Europe;0;;;;;;
22;1;2020;0;0;Azerbaijan;AZ;AZE;10047719;Europe;0;;;;;;
22;1;2020;0;0;Belarus;BY;BLR;9452409;Europe;0;;;;;;
22;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;0;;;;;;
22;1;2020;0;0;Croatia;HR;HRV;4076246;Europe;0;;;;;;
22;1;2020;0;0;Czechia;CZ;CZE;10649800;Europe;0;;;;;;
22;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;0;;;;;;
22;1;2020;0;0;Estonia;EE;EST;1324820;Europe;0;;;;;;
22;1;2020;0;0;Finland;FI;FIN;5517919;Europe;0;;;;;;
22;1;2020;0;0;France;FR;FRA;67012883;Europe;0;;;;;;
22;1;2020;0;0;Georgia;GE;GEO;3996762;Europe;0;;;;;;
22;1;2020;0;0;Germany;DE;DEU;83019213;Europe;0;;;;;;
22;1;2020;0;0;Greece;EL;GRC;10724599;Europe;0;;;;;;
22;1;2020;0;0;Iceland;IS;ISL;356991;Europe;0;;;;;;
22;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;0;;;;;;
22;1;2020;0;0;Italy;IT;ITA;60359546;Europe;0;;;;;;
22;1;2020;0;0;Lithuania;LT;LTU;2794184;Europe;0;;;;;;
22;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;0;;;;;;
22;1;2020;0;0;Monaco;MC;MCO;33085;Europe;0;;;;;;
22;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;0;;;;;;
22;1;2020;0;0;North_Macedonia;MK;MKD;2077132;Europe;0;;;;;;
22;1;2020;0;0;Norway;NO;NOR;5328212;Europe;0;;;;;;
22;1;2020;0;0;Romania;RO;ROU;19414458;Europe;0;;;;;;
22;1;2020;0;0;Russia;RU;RUS;145872260;Europe;0;;;;;;
22;1;2020;0;0;San_Marino;SM;SMR;34453;Europe;0;;;;;;
22;1;2020;0;0;Spain;ES;ESP;46937060;Europe;0;;;;;;
22;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;0;;;;;;
22;1;2020;0;0;Switzerland;CH;CHE;8544527;Europe;0;;;;;;
22;1;2020;0;0;United_Kingdom;UK;GBR;66647112;Europe;0;;;;;;
23;1;2020;0;0;Armenia;AM;ARM;2957728;Europe;0;;;;;;
23;1;2020;0;0;Austria;AT;AUT;8858775;Europe;0;;;;;;
23;1;2020;0;0;Azerbaijan;AZ;AZE;10047719;Europe;0;;;;;;
23;1;2020;0;0;Belarus;BY;BLR;9452409;Europe;0;;;;;;
23;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;0;;;;;;
23;1;2020;0;0;Croatia;HR;HRV;4076246;Europe;0;;;;;;
23;1;2020;0;0;Czechia;CZ;CZE;10649800;Europe;0;;;;;;
23;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;0;;;;;;
23;1;2020;0;0;Estonia;EE;EST;1324820;Europe;0;;;;;;
23;1;2020;0;0;Finland;FI;FIN;5517919;Europe;0;;;;;;
23;1;2020;0;0;France;FR;FRA;67012883;Europe;0;;;;;;
23;1;2020;0;0;Georgia;GE;GEO;3996762;Europe;0;;;;;;
23;1;2020;0;0;Germany;DE;DEU;83019213;Europe;0;;;;;;
23;1;2020;0;0;Greece;EL;GRC;10724599;Europe;0;;;;;;
23;1;2020;0;0;Iceland;IS;ISL;356991;Europe;0;;;;;;
23;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;0;;;;;;
23;1;2020;0;0;Italy;IT;ITA;60359546;Europe;0;;;;;;
23;1;2020;0;0;Lithuania;LT;LTU;2794184;Europe;0;;;;;;
23;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;0;;;;;;
23;1;2020;0;0;Monaco;MC;MCO;33085;Europe;0;;;;;;
23;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;0;;;;;;
23;1;2020;0;0;North_Macedonia;MK;MKD;2077132;Europe;0;;;;;;
23;1;2020;0;0;Norway;NO;NOR;5328212;Europe;0;;;;;;
23;1;2020;0;0;Romania;RO;ROU;19414458;Europe;0;;;;;;
23;1;2020;0;0;Russia;RU;RUS;145872260;Europe;0;;;;;;
23;1;2020;0;0;San_Marino;SM;SMR;34453;Europe;0;;;;;;
23;1;2020;0;0;Spain;ES;ESP;46937060;Europe;0;;;;;;
23;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;0;;;;;;
